id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Street Chronicles,Verbal Sync,hip-hop,focused,0.78,95,0.65,0.85,0.08
12,Moonlight Reverie,Clara Voss,classical,peaceful,0.15,52,0.72,0.25,0.97
13,Island Morning,Coastal Vibe,reggae,happy,0.55,82,0.88,0.76,0.45
14,Iron Tide,Shattered Axis,metal,intense,0.97,168,0.32,0.52,0.03
15,Velvet Hours,Sable Moon,r&b,romantic,0.52,88,0.74,0.78,0.38
16,Dusty Roads,Prairie Wind,country,nostalgic,0.44,96,0.67,0.61,0.82
17,Pulse Horizon,Neon Grid,edm,euphoric,0.95,128,0.82,0.94,0.02
18,Empty Chair,Hank Lowry,blues,sad,0.31,68,0.28,0.44,0.76
